0,0.000,779.080
100,0.059,392.998
200,0.070,370.231
300,0.067,363.730
400,0.067,354.967
500,0.072,352.640
600,0.076,349.779
700,0.078,343.492
800,0.072,343.221
900,0.075,340.371
1000,0.075,341.033
1100,0.076,338.865
1200,0.072,339.791
1300,0.077,337.861
1400,0.079,338.910
1500,0.075,336.472
1600,0.078,341.492
1700,0.077,339.698
1800,0.075,337.250
1900,0.075,334.555
2000,0.072,338.504
2100,0.076,335.157
2200,0.077,334.688
2300,0.077,333.007
2400,0.074,334.013
2500,0.074,334.433
2600,0.075,338.819
2700,0.077,332.602
2800,0.077,332.461
2900,0.074,334.343
3000,0.079,331.899
3100,0.079,335.257
3200,0.079,331.578
3300,0.077,333.216
3400,0.078,331.013
3500,0.079,331.001
3600,0.077,330.472
3700,0.080,330.190
3800,0.080,330.469
3900,0.076,332.478
4000,0.081,329.610
4100,0.078,330.740
4200,0.078,329.587
4300,0.081,330.462
4400,0.080,329.120
4500,0.081,329.931
4600,0.074,337.776
4700,0.078,328.575
4800,0.078,332.356
4900,0.078,333.878
5000,0.080,328.760
5100,0.079,328.071
5200,0.081,327.564
5300,0.080,328.768
5400,0.078,328.939
5500,0.083,327.648
5600,0.082,327.909
5700,0.082,327.778
5800,0.082,328.202
5900,0.080,327.302
6000,0.081,327.081
6100,0.082,327.383
6200,0.082,326.341
6300,0.077,329.877
6400,0.080,326.345
6500,0.079,328.869
6600,0.082,326.286
6700,0.081,326.867
6800,0.085,327.936
6900,0.082,327.415
7000,0.084,325.165
7100,0.082,324.717
7200,0.084,330.734
7300,0.082,325.146
7400,0.082,325.078
7500,0.088,327.318
7600,0.084,325.269
7700,0.086,324.996
7800,0.081,323.612
7900,0.095,323.797
8000,0.085,322.740
8100,0.094,325.852
8200,0.086,321.018
8300,0.084,324.363
8400,0.074,330.434
8500,0.102,324.469
8600,0.085,320.564
8700,0.094,323.085
8800,0.121,318.065
8900,0.096,323.681
9000,0.101,316.815
9100,0.085,321.814
9200,0.105,323.595
9300,0.080,318.322
9400,0.117,311.546
9500,0.100,311.966
9600,0.114,310.191
9700,0.118,307.596
9800,0.119,310.009
9900,0.136,305.820
10000,0.135,303.440
10100,0.126,301.608
10200,0.141,301.892
10300,0.086,306.107
10400,0.123,299.877
10500,0.154,296.366
10600,0.144,294.060
10700,0.113,295.204
10800,0.169,290.792
10900,0.141,290.677
11000,0.170,287.432
11100,0.163,286.124
11200,0.102,294.810
11300,0.100,298.967
11400,0.191,283.526
11500,0.192,280.548
11600,0.172,279.129
11700,0.191,277.857
11800,0.190,277.943
11900,0.087,300.463
12000,0.194,274.231
12100,0.157,279.397
12200,0.166,275.353
12300,0.192,272.903
12400,0.197,271.971
12500,0.216,269.004
12600,0.186,269.508
12700,0.193,268.041
12800,0.211,266.379
12900,0.221,264.237
13000,0.204,265.581
13100,0.223,263.146
13200,0.220,262.886
13300,0.218,262.692
13400,0.221,259.770
13500,0.228,259.148
13600,0.229,258.150
13700,0.233,257.971
13800,0.198,261.659
13900,0.125,270.419
14000,0.216,257.709
14100,0.238,255.702
14200,0.212,256.454
14300,0.244,253.759
14400,0.231,253.465
14500,0.219,254.562
14600,0.153,262.275
14700,0.240,250.582
14800,0.204,257.664
14900,0.194,254.424
15000,0.246,249.009
15100,0.225,251.074
15200,0.234,250.161
15300,0.252,246.829
