0,0.001,643.947
100,0.182,297.879
200,0.187,277.666
300,0.189,266.954
400,0.185,262.128
500,0.196,256.038
600,0.197,254.434
700,0.198,251.757
800,0.196,254.461
900,0.187,259.136
1000,0.195,251.045
1100,0.196,249.658
1200,0.195,252.467
1300,0.194,248.788
1400,0.194,248.160
1500,0.190,250.190
1600,0.195,250.949
1700,0.163,269.521
1800,0.190,249.778
1900,0.192,248.796
2000,0.192,250.424
2100,0.187,248.626
2200,0.186,258.891
2300,0.191,248.689
2400,0.191,248.387
2500,0.194,247.596
2600,0.195,252.620
2700,0.190,248.392
2800,0.189,252.767
2900,0.196,247.228
3000,0.198,248.502
3100,0.198,246.790
3200,0.192,253.217
3300,0.195,247.025
3400,0.191,246.413
3500,0.192,248.497
3600,0.197,247.459
3700,0.195,250.768
3800,0.196,250.562
3900,0.197,245.942
4000,0.196,247.045
4100,0.196,246.648
4200,0.192,246.002
4300,0.193,248.747
4400,0.195,253.829
4500,0.199,252.772
4600,0.198,245.794
4700,0.198,247.027
4800,0.201,245.938
4900,0.191,246.732
5000,0.197,245.412
5100,0.195,252.128
5200,0.195,246.183
5300,0.197,248.234
5400,0.192,247.125
5500,0.199,245.123
5600,0.192,249.619
5700,0.200,244.725
5800,0.201,244.892
5900,0.200,244.958
6000,0.207,243.782
6100,0.200,245.777
6200,0.204,245.756
6300,0.200,244.996
6400,0.201,250.115
6500,0.217,242.640
6600,0.204,241.836
6700,0.197,244.914
6800,0.190,246.245
6900,0.227,240.005
7000,0.202,244.641
7100,0.203,248.238
7200,0.208,239.403
7300,0.201,239.937
7400,0.225,237.749
7500,0.239,235.165
7600,0.214,234.404
7700,0.256,232.367
7800,0.251,231.124
7900,0.201,240.892
8000,0.240,230.858
8100,0.268,224.296
8200,0.243,227.682
8300,0.267,226.955
8400,0.193,237.304
8500,0.299,220.957
8600,0.273,220.027
8700,0.295,216.003
8800,0.285,216.084
8900,0.280,217.963
9000,0.244,221.101
9100,0.292,212.836
9200,0.300,211.585
9300,0.278,213.343
9400,0.277,212.477
9500,0.267,217.074
9600,0.287,211.330
9700,0.251,217.935
9800,0.312,202.756
9900,0.303,204.722
10000,0.310,203.306
10100,0.306,203.972
10200,0.302,204.048
10300,0.312,201.525
10400,0.295,202.780
10500,0.283,205.613
10600,0.324,197.589
10700,0.320,198.542
10800,0.331,196.107
10900,0.334,194.586
11000,0.308,199.776
11100,0.281,204.746
11200,0.337,193.888
11300,0.333,195.092
11400,0.334,193.116
11500,0.332,192.965
11600,0.343,191.253
11700,0.350,190.661
11800,0.350,190.383
